country,name,id,provider,source,future_programmes,future_hours,desc_pct,sample_title,sample_desc,title_source,desc_source,title_desc_policy,language_audit,alternatives,alternative_sources,merged_alternatives,url,integration_status,covered_by
Saudi Arabia,Bloomberg Originals.sa,Bloomberg Originals.sa,openepg,saudiarabia5,9,8.1,100.0,Bloomberg Intelligence,Bloomberg Intelligence,openepg:saudiarabia5:Bloomberg Originals.sa,,EN_TITLE_NO_AR_DESC,ENGLISH_ACCEPTED_AFTER_4_AUDITS,0,,,https://www.open-epg.com/files/saudiarabia5.xml,,osn.xml.gz:BloombergOriginals.us@SD
Saudi Arabia,Bloomberg.sa,Bloomberg.sa,openepg,saudiarabia5,8,152.1,100.0,Bloomberg Tech,Bloomberg Tech,openepg:saudiarabia5:Bloomberg.sa,,EN_TITLE_NO_AR_DESC,ENGLISH_ACCEPTED_AFTER_4_AUDITS,0,,,https://www.open-epg.com/files/saudiarabia5.xml,,osn.xml.gz:BloombergTV.us@MiddleEast
Saudi Arabia,C And I.sa,C And I.sa,openepg,saudiarabia5,12,8.1,100.0,An Hour To Kill,An Hour To Kill,,,NATIVE_TITLE_POLICY,ENGLISH_ACCEPTED_AFTER_4_AUDITS,0,,,https://www.open-epg.com/files/saudiarabia5.xml,,osn.xml.gz:CrimePlusInvestigation.us@SD
,Cartoon Network HD.sa,Cartoon Network HD.sa,openepg,saudiarabia3,54,44.0,100.0,LEGO Scooby-Doo: Knight Time Terror,‫‫عندما يفتح قصر غريمسلي وهو المنزل القديم المسكون المعروف أبوابه للجمهور، تسارع شركة مجموعة لغز للتحقيق في الأمر، سعيا وراء كشف الغموض الذي يحيط بأسطورة الفارس الأسود المخيف.‬‬,openepg:saudiarabia4:Cartoon Network HD.sa,openepg:saudiarabia3:Cartoon Network HD.sa,EN_TITLE_AR_DESC_PAIRED,ARABIC_SELECTED,,,openepg:saudiarabia5:Cartoon Network HD.sa;openepg:saudiarabia4:Cartoon Network Arabic.sa,https://www.open-epg.com/files/saudiarabia3.xml,,osn.xml.gz:CartoonNetworkMENA.uk@SD
,Cartoon-Network-Arabic-1.qa,Cartoon-Network-Arabic-1.qa,openepg,qatar4,199,43.1,0.0,E16 | S1 البطل دينو,,,,NATIVE_TITLE_POLICY,ARABIC_SELECTED,,,openepg:qatar5:Cartoon-Network-Arabic-1.qa,https://www.open-epg.com/files/qatar4.xml,,osn.xml.gz:CartoonNetworkMENA.uk@SD
Egypt,Cima.eg,Cima.eg,openepg,egypt2,20,39.1,95.0,Ayazono,"Businessman Sayed Fawzy offers a reward of ten million pounds to those who help him find his daughter who had been missing for twenty years now. While his greedy neighbour (Hala Fakher) deludes him about her whereabouts, he meets Officer Gameela who tries to find her amongst the many greedy impostors.",,,NATIVE_TITLE_POLICY,ENGLISH_ACCEPTED_AFTER_4_AUDITS,0,,,https://www.open-epg.com/files/egypt2.xml,,elcinema.xml.gz:Cima.eg@SD
Saudi Arabia,CN Arabia.sa,CN Arabia.sa,openepg,saudiarabia5,26,56.1,100.0,The Amazing World of Gumball,The Amazing World of Gumball,,,NATIVE_TITLE_POLICY,ENGLISH_ACCEPTED_AFTER_4_AUDITS,0,,,https://www.open-epg.com/files/saudiarabia5.xml,,osn.xml.gz:CartoonNetworkArabic.ae@SD
,CNN.sa,CNN.sa,openepg,saudiarabia1,67,44.1,100.0,CNN Creators,برنامج حديث بنكهة رقمية يستخدمه شباب يحكي قصص بتعكس التكنولوجيا، الفن، الثقافات والرياضة.,openepg:saudiarabia2:CNN.sa,openepg:saudiarabia1:CNN.sa,EN_TITLE_AR_DESC_PAIRED,ARABIC_SELECTED,,,openepg:saudiarabia2:CNN.sa,https://www.open-epg.com/files/saudiarabia1.xml,,osn.xml.gz:CNNInternational.us@MENA
,Discovery HD.sa,Discovery HD.sa,openepg,saudiarabia1,54,43.7,100.0,Wheeler Dealers:Travelall Around The World,مفهوم العيش حياة بسيطة أصبح يحظى بشعبية متزايدة، ولكن العديد من القادمين الجدد إلى مناطق بعينها يصابون بخيبة أمل في البداية. في هذه السلسلة نتابع خبير الحياة مارتي راني يعلم ابنته ميستي وابنه مات المهارات الأساسية حول كيفية البقاء على قيد الحياة في أقسى الظروف.,openepg:saudiarabia2:Discovery HD.sa,openepg:saudiarabia1:Discovery HD.sa,EN_TITLE_AR_DESC_PAIRED,ARABIC_SELECTED,,,openepg:saudiarabia2:Discovery HD.sa,https://www.open-epg.com/files/saudiarabia1.xml,,osn.xml.gz:DiscoveryChannelMiddleEastAfrica.us@SD
Saudi Arabia,Discovery IDX HD.sa,Discovery IDX HD.sa,openepg,saudiarabia5,9,8.1,100.0,Chaos in Court,Chaos in Court,openepg:saudiarabia5:Discovery IDX HD.sa,,EN_TITLE_NO_AR_DESC,ENGLISH_ACCEPTED_AFTER_4_AUDITS,0,,,https://www.open-epg.com/files/saudiarabia5.xml,,osn.xml.gz:InvestigationDiscovery.uk@SD
,Fatafeat.sa,Fatafeat.sa,openepg,saudiarabia1,58,43.9,100.0,100 لحمة:الحلقة 9,يطل عليكم الشيف طارق في برنامجه الجديد 100 لحمة، احتفالاً بقدوم شهر رمضان الكريم.,,,NATIVE_TITLE_POLICY,ARABIC_SELECTED,,,openepg:saudiarabia2:Fatafeat.sa,https://www.open-epg.com/files/saudiarabia1.xml,,osn.xml.gz:Fatafeat.ae@SD
,Fujairah TV.sa,Fujairah TV.sa,openepg,saudiarabia1,45,44.1,100.0,الفجيرة,تعكس القناة تراث إمارة الفجيرة العريقة وحاضرها المزدهر، حيث تقدم محتوى ثري ومتنوع وتغطي الأخبار المحلية، الثقافة، الرياضة، التكنولوجيا والتقنية وغيرها الكثير.,,,NATIVE_TITLE_POLICY,ARABIC_SELECTED,,,openepg:saudiarabia2:Fujairah TV.sa;openepg:egypt2:Fujairah.eg;openepg:egypt1:الفجيرة.eg,https://www.open-epg.com/files/saudiarabia1.xml,,elcinema.xml.gz:FujairahTV.ae@SD
Saudi Arabia,Gametoon.sa,Gametoon.sa,openepg,saudiarabia5,54,38.1,100.0,Stream Nation - Spyro,Stream Nation - Spyro,,,NATIVE_TITLE_POLICY,ENGLISH_ACCEPTED_AFTER_4_AUDITS,0,,,https://www.open-epg.com/files/saudiarabia5.xml,,osn.xml.gz:Gametoon.nl@SD
Saudi Arabia,Ginx.sa,Ginx.sa,openepg,saudiarabia5,43,36.6,100.0,Top 10,Top 10,,,NATIVE_TITLE_POLICY,ENGLISH_ACCEPTED_AFTER_4_AUDITS,0,,,https://www.open-epg.com/files/saudiarabia5.xml,,osn.xml.gz:GINXTV.uk@SD
Saudi Arabia,H2 HD.sa,H2 HD.sa,openepg,saudiarabia5,12,8.1,100.0,Lost Gold Of World War II,Lost Gold Of World War II,,,NATIVE_TITLE_POLICY,ENGLISH_ACCEPTED_AFTER_4_AUDITS,0,,,https://www.open-epg.com/files/saudiarabia5.xml,,osn.xml.gz:History2MiddleEast.us@SD
Saudi Arabia,History HD.sa,History HD.sa,openepg,saudiarabia5,11,8.1,100.0,Mysteries Unearthed With Danny Trejo,Mysteries Unearthed With Danny Trejo,openepg:saudiarabia5:History HD.sa,,EN_TITLE_NO_AR_DESC,ENGLISH_ACCEPTED_AFTER_4_AUDITS,0,,,https://www.open-epg.com/files/saudiarabia5.xml,,osn.xml.gz:HistoryMiddleEast.us@SD
,Jordan TV.sa,Jordan TV.sa,openepg,saudiarabia1,45,44.1,100.0,التلفزيون الأردني,تركز القناة على تقديم إعلام وطني هادف يكرّس حرية التعبير والرأي، كما تروّج للقيم الأردنية المتمثلة في التسامح والاعتدال والتعددية والمحافظة على الهوية الأردنية.,,,NATIVE_TITLE_POLICY,ARABIC_SELECTED,,,openepg:saudiarabia2:Jordan TV.sa;openepg:egypt2:Jordan TV.eg;openepg:egypt1:الأردن.eg,https://www.open-epg.com/files/saudiarabia1.xml,,elcinema.xml.gz:JordanTV.jo@SD
,LBC.sa,LBC.sa,openepg,saudiarabia1,36,45.1,100.0,قلب أمه,يصاب مجدي تختوخ، زعيم عصابة كبيرة، بإصابات بالغة يُنقل على إثرها للمستشفى، ليخضع لعملية زرع قلب من والدة يونس المتوفاة. تبدأ بعدها المواقف الكوميدية بين يونس وقلب أمه الذي زُرع في صدر تختوخ. بطولة شيكو وهشام ماجد، للمخرج عمرو صلاح.,,,NATIVE_TITLE_POLICY,ARABIC_SELECTED,,,openepg:saudiarabia2:LBC.sa;openepg:egypt2:LBC.eg,https://www.open-epg.com/files/saudiarabia1.xml,,elcinema.xml.gz:LBC.sa@SD
Egypt,Maspero Zaman.eg,Maspero Zaman.eg,openepg,egypt2,53,39.1,49.1,The City of the Alphabet,,,,NATIVE_TITLE_POLICY,ENGLISH_ACCEPTED_AFTER_4_AUDITS,0,,,https://www.open-epg.com/files/egypt2.xml,,elcinema.xml.gz:MasperoZaman.eg@SD
,MBC 3.sa,MBC 3.sa,openepg,saudiarabia1,171,43.4,100.0,أهلا سمسم:الحلقة 25,تابعوا مغامرات بسمة وصديقها المقرب جاد بينما يكتشفان العالم حولهما، ويتعلمان الكثير في إطار من الفرح والفكاهة.,,,NATIVE_TITLE_POLICY,ARABIC_SELECTED,,,openepg:uae6:MBC3.ae,https://www.open-epg.com/files/saudiarabia1.xml,,osn.xml.gz:MBC3.ae@SD
UAE,MBC2.ae,MBC2.ae,openepg,uae6,28,43.1,100.0,باسيفيك ريم,تجتمع مجموعة منوعة من البشر معاً في عام 2025 لمحاربة جحافل من المخلوقات المتوحشة ظهرت من أعماق البحر.,,,NATIVE_TITLE_POLICY,ARABIC_SELECTED,0,,,https://www.open-epg.com/files/uae6.xml,,elcinema.xml.gz:MBC2.ae@SD
UAE,MBC5.ae,MBC5.ae,openepg,uae6,53,43.3,100.0,أنا بنت أبي موسم 1 حلقة 31,بعد أن تتخذ العائلة قرارها بشأن خطبة كارتيك ويوفيكا، تحاول الأخيرة تحذيره من ديجي وتطالبه بالابتعاد عنه. أما الأخير وجارجي، فيخططان لاستغلال الظروف لصالحهما.,,,NATIVE_TITLE_POLICY,ARABIC_SELECTED,0,,,https://www.open-epg.com/files/uae6.xml,,osn.xml.gz:MBC5.ae@SD
Saudi Arabia,MCM TOP.sa,MCM TOP.sa,openepg,saudiarabia5,38,37.1,100.0,Top Mix,Top Mix,,,NATIVE_TITLE_POLICY,ENGLISH_ACCEPTED_AFTER_4_AUDITS,0,,,https://www.open-epg.com/files/saudiarabia5.xml,,osn.xml.gz:MCMTop.fr@SD
Egypt,Mix Bel Araby.eg,Mix Bel Araby.eg,openepg,egypt2,38,39.1,73.7,Forbidden Apple S5,"When Yildiz learns of Çagatay's infidelity with Kumru, she faces a brief crisis before returning her attention to her job. After that, she makes the decision to exact revenge and sets off a chain of lies and plots involving everyone involved.",,,NATIVE_TITLE_POLICY,ENGLISH_ACCEPTED_AFTER_4_AUDITS,0,,,https://www.open-epg.com/files/egypt2.xml,,elcinema.xml.gz:MixBelAraby.eg@SD
Saudi Arabia,Moonbug Kids.sa,Moonbug Kids.sa,openepg,saudiarabia5,53,56.1,100.0,Gecko's Garage,Gecko's Garage,,,NATIVE_TITLE_POLICY,ENGLISH_ACCEPTED_AFTER_4_AUDITS,0,,,https://www.open-epg.com/files/saudiarabia5.xml,,osn.xml.gz:MoonbugKids.uk@SD
Saudi Arabia,MOTORVISION.sa,MOTORVISION.sa,openepg,saudiarabia5,72,36.6,100.0,UIM Aquabike World Championship 2026,UIM Aquabike World Championship 2026,,,NATIVE_TITLE_POLICY,ENGLISH_ACCEPTED_AFTER_4_AUDITS,0,,,https://www.open-epg.com/files/saudiarabia5.xml,,osn.xml.gz:MotorvisionPlus.de@SD
Saudi Arabia,Nick Jr HD.sa,Nick Jr HD.sa,openepg,saudiarabia5,108,56.1,100.0,BARBAPAPA - One Big Happy Family!,BARBAPAPA - One Big Happy Family!,openepg:saudiarabia5:Nick Jr HD.sa,,EN_TITLE_NO_AR_DESC,ENGLISH_ACCEPTED_AFTER_4_AUDITS,0,,,https://www.open-epg.com/files/saudiarabia5.xml,,osn.xml.gz:NickJrArabia.ae@SD
Saudi Arabia,Nickelodeon HD.sa,Nickelodeon HD.sa,openepg,saudiarabia5,87,56.1,100.0,The Marsupilamis,The Marsupilamis,openepg:saudiarabia5:Nickelodeon HD.sa,,EN_TITLE_NO_AR_DESC,ENGLISH_ACCEPTED_AFTER_4_AUDITS,0,,,https://www.open-epg.com/files/saudiarabia5.xml,,osn.xml.gz:NickelodeonArabia.ae@SD
Saudi Arabia,NickToons HD.sa,NickToons HD.sa,openepg,saudiarabia5,95,56.1,100.0,The Patrick Star Show,The Patrick Star Show,openepg:saudiarabia5:NickToons HD.sa,,EN_TITLE_NO_AR_DESC,ENGLISH_ACCEPTED_AFTER_4_AUDITS,0,,,https://www.open-epg.com/files/saudiarabia5.xml,,osn.xml.gz:NicktoonsArabia.ae@SD
,Oman TV.sa,Oman TV.sa,openepg,saudiarabia1,45,44.1,100.0,قناة عُمان العامة,تقدم البرامج الإخبارية والترفيهية ومسلسلات منوعة تلائم جميع أفراد الأسرة العربية.,,,NATIVE_TITLE_POLICY,ARABIC_SELECTED,,,openepg:egypt2:Oman.eg,https://www.open-epg.com/files/saudiarabia1.xml,,osn.xml.gz:OmanTV.om@SD
,One TV.sa,One TV.sa,openepg,saudiarabia1,45,44.1,100.0,One TV,قناة موسيقية عربية تعرض مجموعة متنوعة من الأغاني الكلاسيكية والحديثة المتميزة.,,,NATIVE_TITLE_POLICY,ARABIC_SELECTED,,,openepg:saudiarabia2:One TV.sa,https://www.open-epg.com/files/saudiarabia1.xml,,elcinema.xml.gz:OnE.eg@SD
Saudi Arabia,OSNtv Comedy.sa,OSNtv Comedy.sa,openepg,saudiarabia5,86,36.9,100.0,2 Broke Girls,2 Broke Girls,openepg:saudiarabia5:OSNtv Comedy.sa,,EN_TITLE_NO_AR_DESC,ENGLISH_ACCEPTED_AFTER_4_AUDITS,0,,,https://www.open-epg.com/files/saudiarabia5.xml,,osn.xml.gz:OSNComedy.ae@SD
Saudi Arabia,OSNtv Kids.sa,OSNtv Kids.sa,openepg,saudiarabia5,113,56.1,100.0,The Mighty Ones,The Mighty Ones,openepg:saudiarabia5:OSNtv Kids.sa,,EN_TITLE_NO_AR_DESC,ENGLISH_ACCEPTED_AFTER_4_AUDITS,0,,,https://www.open-epg.com/files/saudiarabia5.xml,,osn.xml.gz:OSNKids.ae@SD
Saudi Arabia,OSNtv Mezze.sa,OSNtv Mezze.sa,openepg,saudiarabia5,38,37.1,100.0,Hell's Kitchen,Hell's Kitchen,openepg:saudiarabia5:OSNtv Mezze.sa,,EN_TITLE_NO_AR_DESC,ENGLISH_ACCEPTED_AFTER_4_AUDITS,0,,,https://www.open-epg.com/files/saudiarabia5.xml,,osn.xml.gz:OSNMezze.ae@SD
Saudi Arabia,OSNtv Movies Action.sa,OSNtv Movies Action.sa,openepg,saudiarabia5,22,36.5,100.0,Birds Of Prey,Birds Of Prey,openepg:saudiarabia5:OSNtv Movies Action.sa,,EN_TITLE_NO_AR_DESC,ENGLISH_ACCEPTED_AFTER_4_AUDITS,0,,,https://www.open-epg.com/files/saudiarabia5.xml,,osn.xml.gz:OSNMoviesAction.ae@SD
Saudi Arabia,OSNtv Movies Hollywood.sa,OSNtv Movies Hollywood.sa,openepg,saudiarabia5,21,37.4,100.0,Interstellar,Interstellar,openepg:saudiarabia5:OSNtv Movies Hollywood.sa,,EN_TITLE_NO_AR_DESC,ENGLISH_ACCEPTED_AFTER_4_AUDITS,0,,,https://www.open-epg.com/files/saudiarabia5.xml,,osn.xml.gz:OSNMoviesHollywood.ae@SD
Saudi Arabia,OSNtv Movies Premiere.sa,OSNtv Movies Premiere.sa,openepg,saudiarabia5,20,36.6,100.0,Switched,Switched,openepg:saudiarabia5:OSNtv Movies Premiere.sa,,EN_TITLE_NO_AR_DESC,ENGLISH_ACCEPTED_AFTER_4_AUDITS,0,,,https://www.open-epg.com/files/saudiarabia5.xml,,osn.xml.gz:OSNMoviesPremiere.ae@SD
Saudi Arabia,OSNtv Showcase.sa,OSNtv Showcase.sa,openepg,saudiarabia5,63,36.9,100.0,The Shop,The Shop,openepg:saudiarabia5:OSNtv Showcase.sa,,EN_TITLE_NO_AR_DESC,ENGLISH_ACCEPTED_AFTER_4_AUDITS,0,,,https://www.open-epg.com/files/saudiarabia5.xml,,osn.xml.gz:OSNShowcase.ae@SD
Saudi Arabia,OSNtv Yahala Aflam.sa,OSNtv Yahala Aflam.sa,openepg,saudiarabia5,25,37.6,100.0,An Tusbeh Warren Buffett,An Tusbeh Warren Buffett,openepg:saudiarabia5:OSNtv Yahala Aflam.sa,,EN_TITLE_NO_AR_DESC,ENGLISH_ACCEPTED_AFTER_4_AUDITS,0,,,https://www.open-epg.com/files/saudiarabia5.xml,,osn.xml.gz:OSNYahalaAflam.ae@SD
Saudi Arabia,OSNtv Yahala Bil Arabi.sa,OSNtv Yahala Bil Arabi.sa,openepg,saudiarabia5,44,36.5,100.0,Sharab Al Toot AKA One Love,Sharab Al Toot AKA One Love,openepg:saudiarabia5:OSNtv Yahala Bil Arabi.sa,,EN_TITLE_NO_AR_DESC,ENGLISH_ACCEPTED_AFTER_4_AUDITS,0,,,https://www.open-epg.com/files/saudiarabia5.xml,,osn.xml.gz:OSNYahalaBilArabi.ae@SD
Saudi Arabia,OSNtv Yahala.sa,OSNtv Yahala.sa,openepg,saudiarabia5,50,37.1,100.0,Wa Baynaa Miead,Wa Baynaa Miead,openepg:saudiarabia5:OSNtv Yahala.sa,,EN_TITLE_NO_AR_DESC,ENGLISH_ACCEPTED_AFTER_4_AUDITS,0,,,https://www.open-epg.com/files/saudiarabia5.xml,,osn.xml.gz:OSNYahala.ae@SD
Saudi Arabia,RFM TV.sa,RFM TV.sa,openepg,saudiarabia5,38,37.1,100.0,RFM Hits,RFM Hits,,,NATIVE_TITLE_POLICY,ENGLISH_ACCEPTED_AFTER_4_AUDITS,0,,,https://www.open-epg.com/files/saudiarabia5.xml,,osn.xml.gz:RFMTV.fr@SD
,RT Arabic.sa,RT Arabic.sa,openepg,saudiarabia1,87,43.6,100.0,Russian Dimension,"""البُعد الروسي"" برنامج حواري سياسي يقدمه أرتيوم كابشوك، ويقدم منظورًا روسيًا حول دور موسكو في القضايا الدولية والإقليمية، إلى جانب رؤى نادرًا ما تتاح للجمهور العربي.",openepg:saudiarabia2:RT Arabic.sa,openepg:saudiarabia1:RT Arabic.sa,EN_TITLE_AR_DESC_PAIRED,ARABIC_SELECTED,,,openepg:saudiarabia5:RT Arabic.sa;openepg:saudiarabia5:RT English.sa,https://www.open-epg.com/files/saudiarabia1.xml,,osn.xml.gz:RTArabic.ru@SD;osn.xml.gz:RT.ru@SD
,Saudi Sports 1.sa,Saudi Sports 1.sa,openepg,saudiarabia1,43,44.1,100.0,السعودية الرياضية 1,عفواً، دليل البرامج غير متوفر حالياً. ولكن يمكنكم مشاهدة البرامج المسجلة من قبل.,,,NATIVE_TITLE_POLICY,ARABIC_SELECTED,,,openepg:saudiarabia2:Saudi Sports 1.sa;openepg:saudiarabia5:KSA Sports 1 HD.sa,https://www.open-epg.com/files/saudiarabia1.xml,,osn.xml.gz:KSASports1.sa@SD
,Sharjah TV.sa,Sharjah TV.sa,openepg,saudiarabia1,45,44.1,100.0,الشارقة,تقدم القناة سلسلة من البرامج المتنوعة تتناول القضايا الاجتماعية والسياسية والثقافية والترفيهية في آن معاً.,,,NATIVE_TITLE_POLICY,ARABIC_SELECTED,,,openepg:saudiarabia2:Sharjah TV.sa;openepg:egypt2:Sharjah TV.eg;openepg:egypt1:الشارقة.eg,https://www.open-epg.com/files/saudiarabia1.xml,,elcinema.xml.gz:SharjahTV.ae@SD
,Sky News Arabia HD.sa,Sky News Arabia HD.sa,openepg,saudiarabia1,45,44.1,100.0,Sky News عربية HD,تبث من داخل العالم العربي لتسلط الضوء على أحدث أخباره. كما تقدم بث حي ومباشر من قلب الأحداث وتغطية سريعة ومبكرة مع التركيز على الاحتراف الصحفي.,,,NATIVE_TITLE_POLICY,ARABIC_SELECTED,,,openepg:saudiarabia5:Sky News Arabia HD.sa,https://www.open-epg.com/files/saudiarabia1.xml,,osn.xml.gz:SkyNewsArabia.ae@SD
,TLC HD.sa,TLC HD.sa,openepg,saudiarabia1,59,43.7,100.0,90 Day Fiance: Happily Ever After? :Bad Blood,بعد انقضاء مدة التأشيرة كي-1 للخطوبة، تستمر حياة الأزواج الذين تزوجوا، لكن سرعان ما ينقضى شهر العسل الحالم، ويبدأوا يغوصون في أمور الحياة الواقعية.,openepg:saudiarabia2:TLC HD.sa,openepg:saudiarabia1:TLC HD.sa,EN_TITLE_AR_DESC_PAIRED,ARABIC_SELECTED,,,openepg:saudiarabia2:TLC HD.sa,https://www.open-epg.com/files/saudiarabia1.xml,,osn.xml.gz:TLCArabia.us@SD
,Zee Alwan.sa,Zee Alwan.sa,openepg,saudiarabia1,44,44.1,100.0,حياة قلبي,دراما مستوحاة من المسلسل الشعبي كومكوم باجا، وتتابع قصة الشقيقتين بريتا وشريشتي اللتين تنتقلان إلى مومباي بعد وفاة والدهما، لتكتشفا أنهما ضاعتا من والدتهما سارلا أرورا منذ زمن طويل.,,,NATIVE_TITLE_POLICY,ARABIC_SELECTED,,,openepg:saudiarabia2:Zee Alwan.sa;openepg:egypt2:Zee alwan.eg;openepg:egypt1:زي ألوان.eg,https://www.open-epg.com/files/saudiarabia1.xml,,elcinema.xml.gz:ZeeAlwan.ae@SD
Egypt,آي فيلم.eg,آي فيلم.eg,openepg,egypt1,30,35.1,100.0,أربع شقق,تدور أحداث المسلسل في قالب من الكوميديا حول الزوجان منصور وشكوه، واللذان يعيشان برفقة بناتهما باﻹضافة إلى زوج ابنتهما حامد، وتتولد بينهم العديد من المواقف الكوميدية.,,,NATIVE_TITLE_POLICY,ARABIC_SELECTED,0,,,https://www.open-epg.com/files/egypt1.xml,,elcinema.xml.gz:iFilmArabic.ir@SD
Egypt,أون إي.eg,أون إي.eg,openepg,egypt1,25,35.1,24.0,برنامج,,,,NATIVE_TITLE_POLICY,ARABIC_SELECTED,0,,openepg:egypt2:ON E.eg,https://www.open-epg.com/files/egypt1.xml,,elcinema.xml.gz:OnE.eg@SD
Egypt,أون دراما.eg,أون دراما.eg,openepg,egypt1,36,35.1,100.0,إسماعيل يس (أبو ضحكة جنان),يتناول المسلسل قصة حياة الفنان الكبير اسماعيل ياسين الذي بدأ مطربًا في السويس، ورحلته الطويلة التي قطعها منذ ذلك الوقت حتى أصبح النجم الكوميدي رقم 1 في حقبة الخمسينات.,,,NATIVE_TITLE_POLICY,ARABIC_SELECTED,0,,openepg:egypt2:ON Drama.eg,https://www.open-epg.com/files/egypt1.xml,,elcinema.xml.gz:OnDrama.eg@SD
Egypt,إس بي سي.eg,إس بي سي.eg,openepg,egypt1,36,35.1,50.0,السوق الحرة,تدور الأحداث في أروقة «السوق الحرة» بأحد المطارات الدولية، حيث تتقاطع طرق المسافرين العابرين مع الموظفين، فتحدث بينهم مواقف طريفة ومفارقات كوميدية تعكس تباين الثقافات والشخصيات، وتبدّد رتابة أجواء العمل اليومية.,,,NATIVE_TITLE_POLICY,ARABIC_SELECTED,0,,openepg:saudiarabia2:SBC.sa;openepg:egypt2:SBC.eg,https://www.open-epg.com/files/egypt1.xml,,elcinema.xml.gz:SBC.sa@SD
